scenario,prompt_len,concurrency,stop_cfg,cached,run,req,ttft_s,latency_s,tokens,tok_per_s,finish,gpu_pct,gpu_mem_mb,gpu_total_mb
short_c1_none_miss,short,1,none,False,0,0,0.486215,0.561472,8,14.25,done,,,
short_c1_none_miss,short,1,none,False,1,0,0.375316,0.624105,12,19.23,done,,,
short_c1_none_hit,short,1,none,True,0,0,0.375798,0.518039,8,15.44,done,,,
short_c1_none_hit,short,1,none,True,1,0,0.378828,0.528434,8,15.14,done,,,
short_c1_period_miss,short,1,period,False,0,0,0.411091,0.510963,7,13.7,done,,,
short_c1_period_miss,short,1,period,False,1,0,0.374454,0.591091,11,18.61,done,,,
short_c1_period_hit,short,1,period,True,0,0,0.416461,0.504647,7,13.87,done,,,
short_c1_period_hit,short,1,period,True,1,0,0.421127,0.516556,7,13.55,done,,,
short_c1_newline_miss,short,1,newline,False,0,0,0.383802,0.532219,8,15.03,done,,,
short_c1_newline_miss,short,1,newline,False,1,0,0.403093,0.652983,12,18.38,done,,,
short_c1_newline_hit,short,1,newline,True,0,0,0.362092,0.510903,8,15.66,done,,,
short_c1_newline_hit,short,1,newline,True,1,0,0.372179,0.530273,8,15.09,done,,,
long_c1_none_miss,long,1,none,False,0,0,1.201263,4.915792,200,40.69,done,,,
long_c1_none_miss,long,1,none,False,1,0,0.386651,4.105687,200,48.71,done,,,
long_c1_none_hit,long,1,none,True,0,0,0.396774,4.121467,200,48.53,done,,,
long_c1_none_hit,long,1,none,True,1,0,0.398713,4.137428,200,48.34,done,,,
long_c1_period_miss,long,1,period,False,0,0,0.42837,0.929872,30,32.26,done,,,
long_c1_period_miss,long,1,period,False,1,0,0.413116,0.451631,2,4.43,done,,,
long_c1_period_hit,long,1,period,True,0,0,0.42658,0.598655,13,21.72,done,,,
long_c1_period_hit,long,1,period,True,1,0,0.384103,0.919365,29,31.54,done,,,
long_c1_newline_miss,long,1,newline,False,0,0,0.35902,1.742321,72,41.32,done,,,
long_c1_newline_miss,long,1,newline,False,1,0,0.382163,2.13389,94,44.05,done,,,
long_c1_newline_hit,long,1,newline,True,0,0,0.393778,2.394315,107,44.69,done,,,
long_c1_newline_hit,long,1,newline,True,1,0,0.433778,2.284136,102,44.66,done,,,
short_c2_none_miss,short,2,none,False,0,0,1.201528,1.3459,8,5.94,done,,,
short_c2_none_miss,short,2,none,False,0,1,0.392268,0.615906,12,19.48,done,,,
short_c2_none_miss,short,2,none,False,1,0,1.270526,1.975895,38,19.23,done,,,
short_c2_none_miss,short,2,none,False,1,1,0.57946,0.861032,11,12.78,done,,,
short_c2_none_hit,short,2,none,True,0,0,0.387226,0.536521,8,14.91,done,,,
short_c2_none_hit,short,2,none,True,0,1,0.403687,0.55696,8,14.36,done,,,
short_c2_none_hit,short,2,none,True,1,0,1.219152,1.498166,10,6.67,done,,,
short_c2_none_hit,short,2,none,True,1,1,0.391356,0.576359,10,17.35,done,,,
short_c2_period_miss,short,2,period,False,0,0,0.410678,0.546723,7,12.8,done,,,
short_c2_period_miss,short,2,period,False,0,1,0.390263,0.599102,11,18.36,done,,,
short_c2_period_miss,short,2,period,False,1,0,0.407285,0.806628,21,26.03,done,,,
short_c2_period_miss,short,2,period,False,1,1,0.382951,0.575771,10,17.37,done,,,
short_c2_period_hit,short,2,period,True,0,0,0.403515,0.539882,7,12.97,done,,,
short_c2_period_hit,short,2,period,True,0,1,0.387222,0.615613,9,14.62,done,,,
short_c2_period_hit,short,2,period,True,1,0,0.382707,0.516109,7,13.56,done,,,
short_c2_period_hit,short,2,period,True,1,1,0.36536,0.498671,7,14.04,done,,,
short_c2_newline_miss,short,2,newline,False,0,0,0.3948,0.592281,10,16.88,done,,,
short_c2_newline_miss,short,2,newline,False,0,1,0.367955,0.597142,12,20.1,done,,,
short_c2_newline_miss,short,2,newline,False,1,0,0.43028,0.853719,24,28.11,done,,,
short_c2_newline_miss,short,2,newline,False,1,1,0.428877,0.574086,11,19.16,done,,,
short_c2_newline_hit,short,2,newline,True,0,0,0.363947,0.593127,10,16.86,done,,,
short_c2_newline_hit,short,2,newline,True,0,1,0.398403,0.551535,8,14.5,done,,,
short_c2_newline_hit,short,2,newline,True,1,0,0.389079,0.546263,8,14.64,done,,,
short_c2_newline_hit,short,2,newline,True,1,1,0.388378,0.584379,10,17.11,done,,,
long_c2_none_miss,long,2,none,False,0,0,0.424301,4.244539,200,47.12,done,,,
long_c2_none_miss,long,2,none,False,0,1,0.365073,4.206767,200,47.54,done,,,
long_c2_none_miss,long,2,none,False,1,0,1.265345,5.087555,200,39.31,done,,,
long_c2_none_miss,long,2,none,False,1,1,0.422795,4.246972,200,47.09,done,,,
long_c2_none_hit,long,2,none,True,0,0,0.41254,4.215122,200,47.45,done,,,
long_c2_none_hit,long,2,none,True,0,1,1.219286,5.043289,200,39.66,done,,,
long_c2_none_hit,long,2,none,True,1,0,1.184789,5.004488,200,39.96,done,,,
long_c2_none_hit,long,2,none,True,1,1,0.39782,4.209665,200,47.51,done,,,
long_c2_period_miss,long,2,period,False,0,0,0.368291,0.763523,21,27.5,done,,,
long_c2_period_miss,long,2,period,False,0,1,0.381545,0.420505,2,4.76,done,,,
long_c2_period_miss,long,2,period,False,1,0,0.373878,1.006053,33,32.8,done,,,
long_c2_period_miss,long,2,period,False,1,1,0.384552,0.613521,12,19.56,done,,,
long_c2_period_hit,long,2,period,True,0,0,0.364397,0.867108,27,31.14,done,,,
long_c2_period_hit,long,2,period,True,0,1,1.205184,1.543315,18,11.66,done,,,
long_c2_period_hit,long,2,period,True,1,0,0.375782,0.723269,18,24.89,done,,,
long_c2_period_hit,long,2,period,True,1,1,0.413714,1.633921,65,39.78,done,,,
long_c2_newline_miss,long,2,newline,False,0,0,0.42025,2.183476,92,42.13,done,,,
long_c2_newline_miss,long,2,newline,False,0,1,0.419816,2.403606,104,43.27,done,,,
long_c2_newline_miss,long,2,newline,False,1,0,0.39191,1.041638,34,32.64,done,,,
long_c2_newline_miss,long,2,newline,False,1,1,0.412351,2.271127,98,43.15,done,,,
long_c2_newline_hit,long,2,newline,True,0,0,0.385303,1.102851,37,33.55,done,,,
long_c2_newline_hit,long,2,newline,True,0,1,0.408055,1.233191,43,34.87,done,,,
long_c2_newline_hit,long,2,newline,True,1,0,0.435935,0.459461,2,4.35,done,,,
long_c2_newline_hit,long,2,newline,True,1,1,0.434929,1.933001,82,42.42,done,,,
short_c4_none_miss,short,4,none,False,0,0,0.377118,0.528957,8,15.12,done,,,
short_c4_none_miss,short,4,none,False,0,1,0.393796,0.637096,12,18.84,done,,,
short_c4_none_miss,short,4,none,False,0,2,1.238184,1.691737,24,14.19,done,,,
short_c4_none_miss,short,4,none,False,0,3,1.200114,1.471209,11,7.48,done,,,
short_c4_none_miss,short,4,none,False,1,0,0.418201,0.79715,19,23.83,done,,,
short_c4_none_miss,short,4,none,False,1,1,0.402482,0.563406,8,14.2,done,,,
short_c4_none_miss,short,4,none,False,1,2,0.383489,0.618006,12,19.42,done,,,
short_c4_none_miss,short,4,none,False,1,3,0.401168,0.825022,22,26.67,done,,,
short_c4_none_hit,short,4,none,True,0,0,0.397231,0.552105,8,14.49,done,,,
short_c4_none_hit,short,4,none,True,0,1,0.387854,0.53697,8,14.9,done,,,
short_c4_none_hit,short,4,none,True,0,2,0.397703,0.552768,8,14.47,done,,,
short_c4_none_hit,short,4,none,True,0,3,1.226871,1.61453,8,4.96,done,,,
short_c4_none_hit,short,4,none,True,1,0,0.419687,0.686965,10,14.56,done,,,
short_c4_none_hit,short,4,none,True,1,1,1.33231,1.618194,10,6.18,done,,,
short_c4_none_hit,short,4,none,True,1,2,0.419632,0.648066,10,15.43,done,,,
